ticker,date,estimate,actual,surprise
ICICIBANK.NS,2025-04-19,16.91,17.6,0.040804257835600315
ICICIBANK.NS,2025-01-24,16.22,16.45,0.01418002466091248
ICICIBANK.NS,2024-10-26,15.64,16.4,0.048593350383631585
ICICIBANK.NS,2024-07-27,14.98,15.46,0.03204272363150871
ICICIBANK.NS,2024-04-27,14.57,14.99,0.02882635552505147
ICICIBANK.NS,2024-01-20,14.15,14.4,0.0176678445229682
ICICIBANK.NS,2023-10-21,13.59,14.4,0.05960264900662255
ICICIBANK.NS,2023-07-22,13.04,13.54,0.03834355828220859
ICICIBANK.NS,2023-04-22,13.02,12.83,-0.01459293394777262
ICICIBANK.NS,2023-01-21,11.77,11.68,-0.007646559048428195
ICICIBANK.NS,2022-10-22,10.67,10.64,-0.0028116213683223395
ICICIBANK.NS,2022-07-23,8.95,9.75,0.08938547486033528
ICICIBANK.NS,2022-04-23,9.23,9.9,0.07258938244853737
ICICIBANK.NS,2022-01-22,8.66,8.87,0.02424942263279435
ICICIBANK.NS,2021-10-23,7.63,7.79,0.02096985583224117
ICICIBANK.NS,2021-07-24,6.97,6.54,-0.06169296987087514
ICICIBANK.NS,2021-04-24,6.68,6.25,-0.0643712574850299
ICICIBANK.NS,2021-01-30,6.44,7.05,0.09472049689440984
ICICIBANK.NS,2020-10-31,4.78,6.29,0.3158995815899581
HINDUNILVR.NS,2026-07-28,11.7,11.62,-0.006837606837606844
HINDUNILVR.NS,2026-04-30,11.3,11.95,0.05752212389380518
HINDUNILVR.NS,2026-02-11,51.08,30.08,-0.4111198120595145
HINDUNILVR.NS,2025-10-23,10.62,10.85,0.021657250470809835
HINDUNILVR.NS,2025-07-31,10.8,12.18,0.12777777777777768
HINDUNILVR.NS,2025-04-24,9.91,10.68,0.07769929364278502
HINDUNILVR.NS,2025-01-22,11.22,11.14,-0.007130124777183606
HINDUNILVR.NS,2024-10-23,11.48,11.08,-0.034843205574912925
HINDUNILVR.NS,2024-07-23,11.22,11.26,0.0035650623885917243
HINDUNILVR.NS,2024-04-24,10.3,10.64,0.03300970873786406
HINDUNILVR.NS,2024-01-19,11.05,10.77,-0.025339366515837205
HINDUNILVR.NS,2023-10-19,10.95,11.58,0.05753424657534254
HINDUNILVR.NS,2023-07-20,11.1,10.99,-0.009909909909909859
HINDUNILVR.NS,2023-04-27,11.2,10.81,-0.03482142857142847
HINDUNILVR.NS,2023-01-19,10.7,10.85,0.014018691588785081
HINDUNILVR.NS,2022-10-21,10.3,11.45,0.11165048543689306
HINDUNILVR.NS,2022-07-19,9.22,9.78,0.06073752711496732
HINDUNILVR.NS,2022-04-27,10.35,9.72,-0.06086956521739121
HINDUNILVR.NS,2022-01-20,9.77,9.76,-0.001023541453428842
HINDUNILVR.NS,2021-10-19,9.63,9.31,-0.033229491173416434
HINDUNILVR.NS,2021-07-22,8.92,8.86,-0.006726457399103195
HINDUNILVR.NS,2021-04-29,8.39,9.07,0.0810488676996424
HINDUNILVR.NS,2021-01-27,8.72,8.31,-0.04701834862385322
HINDUNILVR.NS,2020-10-20,8.73,8.66,-0.008018327605956504
ITC.NS,2026-05-21,4.0,4.28,0.07000000000000006
ITC.NS,2026-01-29,4.2,4.23,0.007142857142857202
ITC.NS,2025-10-30,4.15,4.08,-0.01686746987951814
ITC.NS,2025-08-01,4.0,4.18,0.04499999999999993
ITC.NS,2025-05-22,3.9,4.02,0.030769230769230684
ITC.NS,2025-02-06,4.21,4.0,-0.04988123515439429
ITC.NS,2024-10-24,17.0,3.99,-0.7652941176470588
ITC.NS,2024-08-01,4.03,3.93,-0.024813895781637736
ITC.NS,2024-05-23,4.0,4.1,0.02499999999999991
ITC.NS,2024-01-29,4.03,4.45,0.10421836228287838
ITC.NS,2023-10-19,3.97,3.95,-0.005037783375314866
ITC.NS,2023-08-14,3.68,4.1,0.11413043478260855
ITC.NS,2023-05-18,3.88,4.12,0.06185567010309284
ITC.NS,2023-02-03,3.71,4.03,0.08625336927223727
ITC.NS,2022-10-20,3.14,3.72,0.18471337579617836
ITC.NS,2022-08-01,3.23,3.56,0.10216718266253873
ITC.NS,2022-05-18,3.74,3.4,-0.09090909090909098
ITC.NS,2022-02-03,3.24,3.29,0.015432098765432042
ITC.NS,2021-10-27,3.12,3.02,-0.032051282051282076
ITC.NS,2021-07-24,3.38,2.66,-0.21301775147928986
ITC.NS,2021-06-01,2.98,3.05,0.023489932885905986
ITC.NS,2021-02-11,2.94,2.98,0.01360544217687076
ITC.NS,2020-11-06,2.53,2.62,0.03557312252964439
ITC.NS,2020-07-24,2.02,1.91,-0.054455445544554504
SBIN.NS,2026-05-08,20.78,21.32,0.02598652550529351
SBIN.NS,2026-02-07,18.92,22.78,0.20401691331923885
SBIN.NS,2025-11-04,19.29,22.0,0.1404872991187144
SBIN.NS,2025-08-08,18.97,21.47,0.13178703215603585
SBIN.NS,2025-05-03,20.01,20.89,0.04397801099450269
SBIN.NS,2025-02-06,17.76,18.93,0.06587837837837827
SBIN.NS,2024-11-08,17.08,20.54,0.20257611241217804
SBIN.NS,2024-08-03,19.14,19.09,-0.002612330198537132
SBIN.NS,2024-05-09,15.72,23.19,0.47519083969465653
SBIN.NS,2024-02-03,15.78,16.08,0.019011406844106397
SBIN.NS,2023-11-04,15.94,16.06,0.007528230865746501
SBIN.NS,2023-08-04,18.03,18.92,0.04936217415418749
SBIN.NS,2023-05-18,16.25,18.71,0.15138461538461545
SBIN.NS,2023-02-03,14.33,15.92,0.11095603628750872
SBIN.NS,2022-11-05,11.92,14.86,0.24664429530201337
SBIN.NS,2022-08-06,8.72,6.8,-0.22018348623853218
SBIN.NS,2022-05-13,11.52,10.21,-0.11371527777777767
SBIN.NS,2022-02-05,9.55,9.45,-0.010471204188481823
SBIN.NS,2021-11-03,8.59,8.55,-0.004656577415599435
SBIN.NS,2021-08-04,6.83,7.29,0.06734992679355782
SBIN.NS,2021-05-21,8.31,7.23,-0.1299638989169675
SBIN.NS,2021-02-04,3.38,5.82,0.7218934911242605
SBIN.NS,2020-11-04,4.96,5.13,0.03427419354838708
SBIN.NS,2020-07-31,6.46,3.39,-0.47523219814241485
BHARTIARTL.NS,2026-05-13,12.75,16.98,0.33176470588235296
BHARTIARTL.NS,2026-02-05,11.58,11.5,-0.0069084628670120956
BHARTIARTL.NS,2025-11-03,10.55,11.3,0.07109004739336493
BHARTIARTL.NS,2025-08-05,11.5,9.9,-0.13913043478260867
BHARTIARTL.NS,2025-05-13,13.2,18.61,0.4098484848484849
BHARTIARTL.NS,2025-02-06,8.06,9.16,0.1364764267990074
BHARTIARTL.NS,2024-10-28,7.84,6.53,-0.16709183673469383
BHARTIARTL.NS,2024-08-05,5.48,7.95,0.4507299270072992
BHARTIARTL.NS,2024-05-14,6.68,6.61,-0.010479041916167576
BHARTIARTL.NS,2024-02-05,5.44,4.25,-0.21875000000000006
